Subject,Gender,Grade,Score
subj1,M,1st,70
subj2,M,1st,70
subj3,M,1st,75
subj4,M,1st,72
subj5,M,1st,78
subj6,M,2nd,70
subj7,M,2nd,68
subj8,M,2nd,75
subj9,M,2nd,75
subj10,M,2nd,70
subj11,M,3rd,80
subj12,M,3rd,82
subj13,M,3rd,85
subj14,M,3rd,82
subj15,M,3rd,85
subj16,F,1st,70
subj17,F,1st,70
subj18,F,1st,75
subj19,F,1st,72
subj20,F,1st,78
subj21,F,2nd,76
subj22,F,2nd,70
subj23,F,2nd,68
subj24,F,2nd,76
subj25,F,2nd,70
subj26,F,3rd,80
subj27,F,3rd,82
subj28,F,3rd,85
subj29,F,3rd,82
subj30,F,3rd,89
subj31,M,1st,71
subj32,M,1st,71
subj33,M,1st,76
subj34,M,1st,74
subj35,M,1st,79
subj36,M,2nd,68
subj37,M,2nd,72
subj38,M,2nd,75
subj39,M,2nd,73
subj40,M,2nd,79
subj41,M,3rd,81
subj42,M,3rd,83
subj43,M,3rd,86
subj44,M,3rd,83
subj45,M,3rd,86
subj46,F,1st,71
subj47,F,1st,71
subj48,F,1st,76
subj49,F,1st,73
subj50,F,1st,79
subj51,F,2nd,80
subj52,F,2nd,78
subj53,F,2nd,79
subj54,F,2nd,73
subj55,F,2nd,72
subj56,F,3rd,80
subj57,F,3rd,82
subj58,F,3rd,85
subj59,F,3rd,82
subj60,F,3rd,85
