Subject,Score,L1,Condition
subj1,42,Arabic,correctAll
subj2,51,Arabic,correctAll
subj3,59,Arabic,correctAll
subj4,64,Arabic,correctTarget
subj5,76,Arabic,correctTarget
subj6,93,Arabic,correctTarget
subj7,106,Arabic,correctTarget
subj8,125,Arabic,noCorrect
subj9,149,Arabic,noCorrect
subj10,171,Arabic,noCorrect
subj11,199,Arabic,noCorrect
subj12,205,Arabic,noCorrect
subj13,40,Arabic,correctAll
subj14,49,Arabic,correctAll
subj15,58,Arabic,correctAll
subj16,72,Arabic,correctTarget
subj17,84,Arabic,correctTarget
subj18,103,Arabic,correctTarget
subj19,122,Arabic,correctTarget
subj20,138,Arabic,noCorrect
subj21,162,Arabic,noCorrect
subj22,187,Arabic,noCorrect
subj23,209,Arabic,noCorrect
subj24,215,Arabic,noCorrect
subj25,43,Arabic,correctAll
subj26,39,Arabic,correctAll
subj27,55,Arabic,correctAll
subj28,67,Arabic,correctTarget
subj29,84,Arabic,correctTarget
subj30,99,Arabic,correctTarget
subj31,115,Arabic,correctTarget
subj32,138,Arabic,noCorrect
subj33,163,Arabic,noCorrect
subj34,187,Arabic,noCorrect
subj35,198,Arabic,noCorrect
subj36,202,Arabic,noCorrect
subj37,42,Arabic,correctAll
subj38,49,Arabic,correctAll
subj39,56,Arabic,correctAll
subj40,67,Arabic,correctTarget
subj41,74,Arabic,correctTarget
subj42,87,Arabic,correctTarget
subj43,102,Arabic,correctTarget
subj44,108,Arabic,noCorrect
subj45,136,Arabic,noCorrect
subj46,154,Arabic,noCorrect
subj47,160,Arabic,noCorrect
subj48,157,Arabic,noCorrect
subj49,41,Arabic,correctAll
subj50,42,Arabic,correctAll
subj51,48,Arabic,correctAll
subj52,60,Arabic,correctTarget
subj53,79,Arabic,correctTarget
subj54,106,Arabic,correctTarget
subj55,141,Arabic,correctTarget
subj56,164,Arabic,noCorrect
subj57,197,Arabic,noCorrect
subj58,199,Arabic,noCorrect
subj59,220,Arabic,noCorrect
subj60,223,Arabic,noCorrect
subj61,41,Arabic,correctAll
subj62,49,Arabic,correctAll
subj63,59,Arabic,correctAll
subj64,74,Arabic,correctTarget
subj65,97,Arabic,correctTarget
