Subject,Group,Testtime,Score
subj1,non-native,pre,70
subj2,non-native,pre,71
subj3,non-native,pre,75
subj4,non-native,pre,68
subj5,non-native,pre,82
subj6,non-native,pre,85
subj7,non-native,pre,79
subj8,non-native,pre,73
subj9,non-native,pre,69
subj10,non-native,pre,73
subj11,non-native,pre,81
subj12,non-native,pre,79
subj13,non-native,pre,72
subj14,non-native,pre,88
subj15,non-native,pre,85
subj16,native,pre,75
subj17,native,pre,72
subj18,native,pre,68
subj19,native,pre,86
subj20,native,pre,78
subj21,native,pre,73
subj22,native,pre,89
subj23,native,pre,69
subj24,native,pre,76
subj25,native,pre,80
subj26,native,pre,72
subj27,native,pre,75
subj28,native,pre,71
subj29,native,pre,79
subj30,native,pre,82
subj1,non-native,post,69
subj2,non-native,post,72
subj3,non-native,post,74
subj4,non-native,post,69
subj5,non-native,post,81
subj6,non-native,post,86
subj7,non-native,post,80
subj8,non-native,post,72
subj9,non-native,post,70
subj10,non-native,post,73
subj11,non-native,post,80
subj12,non-native,post,80
subj13,non-native,post,71
subj14,non-native,post,85
subj15,non-native,post,85
subj16,native,post,77
subj17,native,post,73
subj18,native,post,69
subj19,native,post,87
subj20,native,post,79
subj21,native,post,74
subj22,native,post,90
subj23,native,post,70
subj24,native,post,77
subj25,native,post,81
subj26,native,post,73
subj27,native,post,77
subj28,native,post,72
subj29,native,post,80
subj30,native,post,83
